latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp
-18.932,125.165,322.6,1.2,1.1,2017-04-29,01:45,T,64,6.0NRT,296.2,15.4
-18.904,124.747,315.9,1.2,1.1,2017-04-29,01:45,T,38,6.0NRT,291.6,9.6
-18.912,124.793,317.4,1.2,1.1,2017-04-29,01:45,T,46,6.0NRT,291.7,9.7
-18.907,124.753,317.3,1.2,1.1,2017-04-29,01:45,T,63,6.0NRT,292.1,11.6
-18.913,124.786,316.6,1.2,1.1,2017-04-29,01:45,T,68,6.0NRT,292.7,12.1
-20.094,127.074,323.9,1,1,2017-04-29,01:45,T,76,6.0NRT,300.5,12.7
-20.096,127.083,330.7,1,1,2017-04-29,01:45,T,83,6.0NRT,300.8,20.7
-20.097,127.093,321.2,1,1,2017-04-29,01:45,T,59,6.0NRT,299.5,9
-20.521,128.887,358.7,1.1,1,2017-04-29,01:45,T,99,6.0NRT,303.9,82.3
-20.523,128.898,344.6,1.1,1,2017-04-29,01:45,T,92,6.0NRT,303.3,47.8
-20.529,128.876,338.3,1.1,1,2017-04-29,01:45,T,89,6.0NRT,299.8,36.5
-20.531,128.886,330.2,1.1,1,2017-04-29,01:45,T,83,6.0NRT,300.8,24
-20.532,128.896,318.4,1.1,1,2017-04-29,01:45,T,69,6.0NRT,300.6,9.6
-21.018,130.149,321.7,1.2,1.1,2017-04-29,01:45,T,46,6.0NRT,301.2,14.4
-21.021,130.172,323.3,1.2,1.1,2017-04-29,01:45,T,40,6.0NRT,302.4,15.3
-21.023,130.184,334.8,1.2,1.1,2017-04-29,01:45,T,87,6.0NRT,303.8,35.1
-21.024,130.196,328.3,1.2,1.1,2017-04-29,01:45,T,70,6.0NRT,303.7,23.6
-21.027,130.136,326,1.2,1.1,2017-04-29,01:45,T,73,6.0NRT,299.1,21.3
-21.045,130.277,314.4,1.2,1.1,2017-04-29,01:45,T,23,6.0NRT,298.8,7.3
-21.054,130.349,326.9,1.3,1.1,2017-04-29,01:45,T,71,6.0NRT,300.7,22.9
-21.059,130.312,317.9,1.2,1.1,2017-04-29,01:45,T,50,6.0NRT,298,11
-21.061,130.324,320.1,1.2,1.1,2017-04-29,01:45,T,66,6.0NRT,298.7,14.5
-21.052,130.18,332.3,1.2,1.1,2017-04-29,01:45,T,84,6.0NRT,304.3,30.5
-21.056,130.131,353,1.2,1.1,2017-04-29,01:45,T,97,6.0NRT,299.5,84
-21.058,130.143,328.8,1.2,1.1,2017-04-29,01:45,T,81,6.0NRT,300.4,26.8
-21.059,130.155,326.8,1.2,1.1,2017-04-29,01:45,T,69,6.0NRT,300.6,22.7
-21.061,130.167,327.9,1.2,1.1,2017-04-29,01:45,T,66,6.0NRT,300.4,23.7
-21.526,130.226,323.8,1.2,1.1,2017-04-29,01:45,T,78,6.0NRT,293.5,20.3
-21.528,130.238,328.7,1.3,1.1,2017-04-29,01:45,T,82,6.0NRT,293.1,27.9
-21.525,130.141,312.8,1.2,1.1,2017-04-29,01:45,T,46,6.0NRT,287.1,8.7
-21.527,130.152,312.1,1.2,1.1,2017-04-29,01:45,T,58,6.0NRT,286.8,9.1
-22.271,123.096,329.8,1.3,1.1,2017-04-29,01:45,T,82,6.0NRT,299.9,31.2
-22.282,123.094,323.4,1.3,1.1,2017-04-29,01:45,T,76,6.0NRT,299.3,21
-22.312,123.088,329,1.3,1.1,2017-04-29,01:45,T,76,6.0NRT,298.4,28.9
-22.315,123.101,398.9,1.3,1.1,2017-04-29,01:45,T,94,6.0NRT,305.7,363.1
-22.321,123.094,323.3,1.3,1.1,2017-04-29,01:45,T,54,6.0NRT,295.6,20.8
-22.323,123.107,318.5,1.3,1.1,2017-04-29,01:45,T,0,6.0NRT,297.1,13.7
-22.258,122.612,320.1,1.4,1.2,2017-04-29,01:45,T,72,6.0NRT,298.8,16.5
-22.261,122.626,313,1.4,1.2,2017-04-29,01:45,T,34,6.0NRT,297.7,6.3
-22.265,122.653,327.2,1.4,1.2,2017-04-29,01:45,T,80,6.0NRT,298.9,28.6
12.515,-87.115,348.3,1,1,2017-04-29,04:15,T,100,6.0NRT,291.8,58.4
12.514,-87.124,343.4,1,1,2017-04-29,04:15,T,100,6.0NRT,291.9,48.6
12.573,-87.158,313.4,1,1,2017-04-29,04:15,T,87,6.0NRT,291.7,10
12.572,-87.167,305.9,1,1,2017-04-29,04:15,T,66,6.0NRT,291.3,4.5
12.582,-87.159,319.1,1,1,2017-04-29,04:15,T,98,6.0NRT,291.6,15.1
12.581,-87.169,309.7,1,1,2017-04-29,04:15,T,78,6.0NRT,291.4,7.2
12.777,-86.952,310.1,1,1,2017-04-29,04:15,T,79,6.0NRT,292.9,7.6
12.775,-86.961,322.3,1,1,2017-04-29,04:15,T,100,6.0NRT,293.2,18.6
13.353,-88.413,303.5,1,1,2017-04-29,04:15,T,15,6.0NRT,290.5,5.3
14.742,-89.633,305.6,1,1,2017-04-29,04:15,T,42,6.0NRT,290.9,5.6
15.245,-86.721,304.4,1.1,1,2017-04-29,04:15,T,54,6.0NRT,277,7.5
15.25,-86.727,302.2,1.1,1,2017-04-29,04:15,T,38,6.0NRT,276.8,7.2
15.026,-90.204,302.1,1.1,1,2017-04-29,04:15,T,37,6.0NRT,285.7,5.2
14.941,-90.998,301.3,1.2,1.1,2017-04-29,04:15,T,40,6.0NRT,287,6.6
14.939,-91.009,327,1.2,1.1,2017-04-29,04:15,T,100,6.0NRT,288.1,33
15.837,-92.963,304.1,1.5,1.2,2017-04-29,04:15,T,58,6.0NRT,293.6,6.7
15.911,-92.942,304.1,1.5,1.2,2017-04-29,04:15,T,59,6.0NRT,293.3,6.8
15.909,-92.955,311.3,1.5,1.2,2017-04-29,04:15,T,82,6.0NRT,293.6,15.1
16.682,-89.21,301.7,1,1,2017-04-29,04:15,T,37,6.0NRT,287.5,2.8
16.112,-92.908,312,1.4,1.2,2017-04-29,04:15,T,84,6.0NRT,293,16.7
16.798,-89.555,347.6,1,1,2017-04-29,04:15,T,100,6.0NRT,296.3,55.8
16.797,-89.564,341,1,1,2017-04-29,04:15,T,100,6.0NRT,295.4,43.3
16.807,-89.556,366.4,1,1,2017-04-29,04:15,T,100,6.0NRT,296.9,103.6
16.806,-89.566,365,1,1,2017-04-29,04:15,T,100,6.0NRT,296.3,99.3
16.865,-89.604,335.9,1,1,2017-04-29,04:15,T,100,6.0NRT,291.7,35.4
16.863,-89.613,318,1,1,2017-04-29,04:15,T,96,6.0NRT,291.1,14.1
16.874,-89.602,307.8,1,1,2017-04-29,04:15,T,73,6.0NRT,290.5,6.3
16.873,-89.611,324.1,1,1,2017-04-29,04:15,T,100,6.0NRT,290.1,20.5
16.921,-89.6,309.5,1,1,2017-04-29,04:15,T,77,6.0NRT,290.8,7.6
16.919,-89.609,305.3,1,1,2017-04-29,04:15,T,64,6.0NRT,290.7,4.8
16.842,-90.563,306.2,1.1,1,2017-04-29,04:15,T,55,6.0NRT,293.1,5.8
16.841,-90.573,313.1,1.1,1,2017-04-29,04:15,T,86,6.0NRT,293.7,11.1
16.967,-90.893,311.1,1.1,1,2017-04-29,04:15,T,75,6.0NRT,294.5,8.5
16.978,-90.884,322.8,1.1,1,2017-04-29,04:15,T,100,6.0NRT,293.5,20.4
16.976,-90.894,372.8,1.1,1,2017-04-29,04:15,T,100,6.0NRT,296.2,139.8
16.874,-91.549,302.6,1.2,1.1,2017-04-29,04:15,T,50,6.0NRT,291.1,5.4
17.053,-90.702,307.1,1.1,1,2017-04-29,04:15,T,67,6.0NRT,295.1,4.6
17.051,-90.711,313.8,1.1,1,2017-04-29,04:15,T,87,6.0NRT,295.3,10
16.997,-91.358,303.4,1.1,1.1,2017-04-29,04:15,T,51,6.0NRT,292.3,4
17.39,-88.832,308,1,1,2017-04-29,04:15,T,69,6.0NRT,295.4,5.4
17.399,-88.834,313.1,1,1,2017-04-29,04:15,T,85,6.0NRT,295.1,9
17.157,-90.684,308.5,1.1,1,2017-04-29,04:15,T,71,6.0NRT,295.1,6
16.857,-93.837,306.4,1.6,1.3,2017-04-29,04:15,T,68,6.0NRT,293.4,11.7
17.386,-90.499,310.7,1,1,2017-04-29,04:15,T,78,6.0NRT,296.4,7.2
17.35,-90.797,309.9,1.1,1,2017-04-29,04:15,T,73,6.0NRT,296.7,5.7
17.349,-90.807,316.2,1.1,1,2017-04-29,04:15,T,92,6.0NRT,297.2,11.3
16.857,-93.843,310.3,1.6,1.3,2017-04-29,04:15,T,80,6.0NRT,293.5,17.5
17.358,-90.808,310,1.1,1,2017-04-29,04:15,T,75,6.0NRT,296.8,5.8
17.357,-90.818,310.3,1.1,1,2017-04-29,04:15,T,76,6.0NRT,296.8,6.2
16.886,-93.941,303.9,1.6,1.3,2017-04-29,04:15,T,23,6.0NRT,293.3,7.8
16.884,-93.957,320,1.7,1.3,2017-04-29,04:15,T,99,6.0NRT,293.9,33.6
16.895,-93.958,305.2,1.7,1.3,2017-04-29,04:15,T,52,6.0NRT,293.2,10.1
17.437,-90.659,310.6,1.1,1,2017-04-29,04:15,T,77,6.0NRT,296.7,6.8
17.473,-90.721,324.5,1.1,1,2017-04-29,04:15,T,100,6.0NRT,297.2,20.5
17.471,-90.731,317.9,1.1,1,2017-04-29,04:15,T,95,6.0NRT,297,13.2
16.502,-97.406,301.8,3.1,1.7,2017-04-29,04:15,T,45,6.0NRT,288.1,24
